Voici la liste des ancêtres de Jésus-Christ, descendant de David, lui-même descendant d'Abraham.	Ŋwa'nyə nə ŋkhənyə Yeso Kristo mú David, mú Abraham.
Heureux êtes-vous si les hommes vous insultent, vous persécutent et disent faussement toute sorte de mal contre vous parce que vous croyez en moi.	Po bɑ mpuŋtsé nə cwə yə pu jəmtə wɔ, bɑ́ cwɔ'mkwə mɔ cwəpuŋ, biŋ bɑ shwatə mnwə cwəpuŋ nə po, po'o nə thə a.
Réjouissez-vous, soyez heureux, car une grande récompense vous attend dans les cieux. C'est ainsi, en effet, qu'on a persécuté les prophètes qui ont vécu avant vous.»	Po pɑ ŋwɛnyə́, bɑ sɛnyə́ nə pa' mcwɔ'fa' mɔ ghu' thə kɛbəŋ. Pu lə ghə pɑ po'o nə́ mghɔm ghɔm Si pyə wap lə bɑ́ dzə po a.
«C'est vous qui êtes le sel du monde. Mais si le sel perd son goût, comment pourrait-on le rendre de nouveau salé? Il n'est plus bon à rien; on le jette dehors, et les gens marchent dessus.	Pǒ bɑ gwɛ́ dəmcǎ', a bi a gwɛ̌ pi nə tʉ̀m, bɑ a gɔ piŋ pɑ gwɛ m gɑ́ kɑ? Bɑ a tə yɑ sɔmywə pɑ, bɑ pu gɔ ma' pé, pɔmnəŋ pɑ dɑ mkwə nə́ŋtə́.
«C'est vous qui êtes la lumière du monde. Une ville construite sur une montagne ne peut pas être cachée.	Pǒ bɑ ŋkha' dzʉ́, bi a pɑ tisuŋ dəm ŋkhuŋ lə tʉmnyə.
On n'allume pas une lampe pour la mettre sous un seau. Au contraire, on la place sur son support, d'où elle éclaire tous ceux qui sont dans la maison.	Pú tə́ sumɔk nə lambu nyəŋ cəŋ pɑ́, pu nthʉ dəm kwɔ' lambu, po'o gɑ a kyɛ' guŋ pɔ pyə wap dyə a awɛ.
C'est ainsi que votre lumière doit briller devant les hommes, afin qu'ils voient le bien que vous faites et qu'ils louent votre Père qui est dans les cieux.»	Dəŋdəŋ po'o, ŋkha' yɔ́ pɑ́ ŋkhyɛ' nə mnyə́ pɔmnəŋ po'o gɑ́, wap nə yɔ mfa' pɑpuŋ mɔ bɑ gu'tə Tá yɔ yə e bɑ kɛbəŋ a.
«Ne pensez pas que je sois venu supprimer la loi de Moïse et l'enseignement des prophètes. Je ne suis pas venu pour les supprimer mais pour leur donner tout leur sens.	Ka po kwɛ gɑ́ gɑ sɔ' ghə gɑ mco' pu nwə yə mghɔm ghɔm Si lə ghɔm a, a mi. Ŋ tə sɔ' m nə ghə gɑ́ a mi pɑ. Gɑ sɔ' nə ghə gɑ́ a pəmtə.
Je vous le déclare, c'est la vérité: aussi longtemps que le ciel et la terre dureront, ni la plus petite lettre ni le plus petit détail ne seront supprimés de la loi, et cela jusqu'à la fin de toutes choses.	Nə pa' gɑ siŋ wɔ kwa' nyənyɔ gɑ, kɛbəŋ pu cǎ' gɔ sɔ' nə mi, bɑ bǎ ta' i, bǎ cwɔ' nə i nə mco' lə mi tɑ́ a bɑ gɑ́ guŋ mnwə awɛ pəmtə pɑ́.
C'est pourquoi, celui qui écarte même le plus petit des commandements et enseigne aux autres à faire de même, sera le plus petit dans le Royaume des cieux. Mais celui qui l'applique et enseigne aux autres à faire de même, sera grand dans le Royaume des cieux.	Cwəlɔ, mo yə e pɔptə bǎ yɑmu' nə mupfʉ̌ mco', biŋ ji'tə bi pɔmnəŋ nə ghə po'o a, bɑ pu gɔ sɔ' lɑ e ghə mo ŋkho' nthʉm nəfo kɛbəŋ; da' gɑ mo yə e ghiŋ nə mco' bɔ, biŋ ji'tə bi pɔmnəŋ a, pu gɔ sɔ' ke mo bɔ gɑ mo gwyə nthʉm nəfo kɛbəŋ.
Je vous l'affirme: si vous n'êtes pas plus fidèles à la volonté de Dieu que les maîtres de la loi et les Pharisiens, vous ne pourrez pas entrer dans le Royaume des cieux.»	Nə pa' gɑ siŋ wɔ gɑ yɔ nə pɑ́ dəŋdəŋ pɑ tə cyə yə pɑ zhyə́ mco' pu a pɑ Farisai, bɑ po tə gɔ sɔ' ko nə nəfo kɛbəŋ pɑ.
«Vous avez entendu qu'il a été dit à nos ancêtres: “Tu ne commettras pas de meurtre; tout homme qui en tue un autre mérite de comparaître devant le juge.”	Po lə yu' pa' pu lə ghɔm bi pɑ dzə gɑ: Kɑ zhwə mo; mó yə e zhwə mo a bɑ pu gɔ fyɛ́' e dyə fyɛ̀'.
Eh bien, moi je vous déclare: tout homme qui se met en colère contre son frère mérite de comparaître devant le juge; celui qui dit à son frère: “Imbécile!” mérite d'être jugé par le Conseil supérieur; celui qui lui dit: “Idiot!” mérite d'être jeté dans le feu de l'enfer.	Po pɔmtə gɑ po kɑ pɑ fa' tsɔ fà' nə biŋ Si pɑ dəm sim dzə̌ pɔmnəŋ gɑ wap yɔ́ wɔ́. Po ghə po'o bɑ po tə gɔ sɔ' ghə sɔm mcwɔ'fa' dzə Tá yɔ kɛbəŋ pɑ̀.
Si donc tu viens à l'autel présenter ton offrande à Dieu et que là tu te souviennes que ton frère a une raison de t'en vouloir	O pɑ gɔ hɑ ywə nə ŋkwitə́ mpə́ŋ, o kɑ tǔŋ lwɔ́p pa' pɑ tsɛbǔ gə dyə sinagogə ba m məjyə gɑ́ pɔmnəŋ nə gu'tə wap a. Kwa' nyənyɔ gɑ siŋ wɔ gɑ a bɑ wap é da' ŋkwi màp mcwɔ'fa'.
laisse là ton offrande, devant l'autel, et va d'abord faire la paix avec ton frère; puis reviens et présente ton offrande à Dieu.	Sɔ' m nə o, o pɑ gɔ hɑ ywə nə ŋkwitə mpəŋ, pú ǔ yə kwyap kɑ zhyə̌ ywə yə pú ǔ yə tʉɔ gə a
«Si tu es en procès avec quelqu'un, dépêche-toi de te mettre d'accord avec lui pendant que vous êtes encore en chemin. Tu éviteras ainsi que ton adversaire ne te livre au juge, que le juge ne te remette à la police et qu'on ne te jette en prison.	po'o gɑ ywə yə o hɑ a wuŋ pɑ nthʉm cam, a Tá ɔ yə e jɔ nthʉm cam a, sɔ' shwɔ'fa' o.
Je te le déclare, c'est la vérité: tu ne sortiras pas de là tant que tu n'auras pas payé ta dette jusqu'au dernier centime.»	Po pɑ́ shwyɛ'nyə Si, ka po pɑ́ pa' pɑ tsɛ́bǔ pyə wap ŋkhuŋ nə tiŋnyə thə́ dyə sinagogə ba mhapnyə məjyə tɑ́ shwyɛ'nyə Si, po'o gɑ pɔmnəŋ yɔ wap a. Kwa' nyənyɔ Gɑ siŋ wɔ gɑ́ a bɑ wap kwi map mcwɔ'fa'.
«Vous avez entendu qu'il a été dit: “Tu ne commettras pas d'adultère.”	Sɔ' m nə o, o pɑ́ gɔ cwyɛ'nyə Si, o ko nə twɔ'dyə̌ dʉmnyətʉmnyə, jo' jyədyə̌ tə́ shwyɛ'nyə Ta ɔ yə e bɑ nthʉm cam a; po'o gɑ Ta ɔ yə e jɔ nthʉm cam a cwɔ'fa' o.
Eh bien, moi je vous déclare: tout homme qui regarde la femme d'un autre en la désirant a déjà commis l'adultère avec elle en lui-même.	Po pɑ shwyɛ'nyə Si, po kɑ́ ghɔm vəŋ mghɔ̀m pa' pɑ tə pɑ́ pɑ́ Yudea a. Wap ŋkwɛ gɑ vəŋ mghɔm nə gɔ ghə tə́ Si pa' bi pú.
Si donc c'est à cause de ton œil droit que tu tombes dans le péché, arrache-le et jette-le loin de toi: il vaut mieux pour toi perdre une seule partie de ton corps que d'être jeté tout entier dans l'enfer.	Ka po hwənyə wap pɑ́, nə pa' Tá yɔ bɑ e zhyə ywə yə a jak bi po a, tə́ po lo bi e.
Si c'est à cause de ta main droite que tu tombes dans le péché, coupe-la et jette-la loin de toi: il vaut mieux pour toi perdre un seul membre de ton corps que d'aller tout entier en enfer.»	Po'o lə́, po pɑ́ shwyɛ'nyə Si gɑ: Tá yɔk yə o kɛbəŋ, ghə tsó tsǔ pɑ́ dɔlɔ̌.
«Il a été dit aussi: “Celui qui renvoie sa femme doit lui donner une attestation de divorce.”	Ghə Nəfo tsǔ sɔ̌'. Ghə́ pu ghə ywə yə o shəŋ a dəmcǎ' pa' pu gə kɛbəŋ a
Eh bien, moi je vous déclare: tout homme qui renvoie sa femme, alors qu'elle n'a pas été infidèle, lui fait commettre un adultère si elle se remarie; et celui qui épouse une femme renvoyée par un autre commet aussi un adultère.»	hɑ́ yɔk ywətsʉ yə a ku' nə pyə tyɛ' ɔ a.
«Vous avez aussi entendu qu'il a été dit à nos ancêtres: “Ne romps pas ton serment, mais accomplis ce que tu as promis avec serment devant le Seigneur.”	Lɑ mhɔ mɔk dzə́ o nə shwyɛ' wɔk dəŋdəŋ pa' pyə dɑ mhɔ pyə shɑ́ pɔ dzə̌ pyə nə shwyɛ' wáp a.
Eh bien, moi je vous dis de ne faire aucun serment: n'en faites ni par le ciel, car c'est le trône de Dieu	Biŋ o kɑ́ tak wɔk nə mləŋtə, da' nə kwi wɔk bi Cwəpuŋ
ni par la terre, car elle est un escabeau sous ses pieds; ni par Jérusalem, car elle est la ville du grand Roi.	Nə pa' po lɑ mhɔ pɔmnəŋ nə shwyɛ' wáp, bɑ Tá yɔ kɛbəŋ gɔ lɑ mhɔ mɔ́ nə cwyɛ' wɔ
N'en fais pas non plus par ta tête, car tu ne peux pas rendre blanc ou noir un seul de tes cheveux.	tɑ́ po pɑ tɑ lɑ mhɔ pɔmnəŋ nə shwyɛ' wáp, bɑ ba Tá yɔ tə gɔ lɑ mhɔ mo' cwyɛ' wɔ́ pɑ.
Si c'est oui, dites “oui”, si c'est non, dites “non”, tout simplement; ce que l'on dit en plus vient du Mauvais.»	Po pɑ shwə tə tsu ywə, po kɑ ŋiŋtə́ sə yɔ pa' pɑ tsɛbǔ gə a: Wap ŋiŋtə sə yap po'o tə́ cəŋtə nə la'tə bi pɔmnəŋ gɑ́ wap wə jwiŋ. Kwa' nyənyɔ gɑ̌ siŋ wɔ gɑ a bɑ wap kwi map mcwɔ'fa'.
«Vous avez entendu qu'il a été dit: “Œil pour œil et dent pour dent.”	Sɔ' m nə o, cwə yə o wə jwiŋ a, o lɑ mwɑ damnyəlamnyə jwɔ' thə o, sɔk sə o
Eh bien, moi je vous dis de ne pas vous venger de celui qui vous fait du mal. Si quelqu'un te gifle sur la joue droite, laisse-le te gifler aussi sur la joue gauche.	po' o gɑ o kɑ́ la'tə bi pɔmnəŋ gɑ́ o wə jwiŋ, o la'tə da' bi Ta ɔ yə e bɑ nthʉm càm a; Ta ɔ yə e jɔ nthʉm càm a, e pa' bu.
Si quelqu'un veut te faire un procès pour te prendre ta chemise, laisse-le prendre aussi ton manteau.	Ka po cu'tə tsə fʉ' tsɔ dəmcǎ' tsʉ' yə mkapfə́ kɑ pu a mcwəcwə lə́ simnyə, mcwúŋ piŋ bɑ nthú dyə ŋkwa nə gɔ a.
Si quelqu'un t'oblige à faire mille pas, fais-en deux mille avec lui.	Da' gɑ po lwɔ' tsə fʉ' tsɔ m kɛ́bəŋ nə tsʉ' yə mkapfə kɑ mcwəcwə lɑ tɑ́ gɔ pɔptə a pɑ, mcwǔŋ lə piŋ bɑ nthú jʉ a.
Donne à celui qui te demande quelque chose; ne refuse pas de prêter à celui qui veut t'emprunter.»	Nə pa' tsʉ' yə fʉ' o nə a, a tsʉ' yə tʉm tsǔ bɑ́ nə a.
«Vous avez entendu qu'il a été dit: “Tu dois aimer ton prochain et haïr ton ennemi.”	Lambù nɑ́ mo bɑ bɛtsə́ o. A bi a bɛtsə́ o pɑ pɑpuŋ bɑ guŋ nɑ o awɛ gɔ pɑ nə ŋkha'
Eh bien, moi je vous dis: aimez vos ennemis et priez pour ceux qui vous persécutent.	Da' gɑ́ bɛtsə́ o pɑ jɛ́, bɑ guŋ nɑ o awɛ gɔ pɑ nthʉm jʉ́m. A pɑ gɑ́ ŋkha' yə a nə o ǎ zhi jʉ́m, bɑ a kwa' sə sə jʉ̌m!
Ainsi vous deviendrez les fils de votre Père qui est dans les cieux. Car il fait lever son soleil aussi bien sur les méchants que sur les bons, il fait pleuvoir sur ceux qui lui sont fidèles comme sur ceux qui ne le sont pas.	Bi a pɑ sɔmmo lə fa' bi mtǎ fa' pɑ pʉə: Kɑ bɑ é gɔ pɑ́ pɔ́ mu' piŋ pɑ́ kuŋ mu' lɑ, kɑ bɑ é gɔ kwɑ nɑ é nə mu', pɑ́ wak yə mu' lɑ. Bi a pɑ po lə fa' bi Si pu Ŋkhap.
Si vous aimez seulement ceux qui vous aiment, pourquoi vous attendre à recevoir une récompense de Dieu? Même les collecteurs d'impôts en font autant!	A shyə m po' tə bɑ gɔm bi po gɑ: Ka lam tsɔ pɑ sɔ́ nə vɔk yɔ́ nə ywə yə po gɔ tsʉ a, kɑ nə nɑ yɔ nə ywə yə po gɔ kwa a lə. Vɔk mo tə bɑ a cyə ywətsʉ a? Kɑ nɑ mo nə cyə dzə a?
Si vous ne saluez que vos frères, faites-vous là quelque chose d'extraordinaire? Même les païens en font autant!	Po lé msəŋ kɛbəŋ tə jɔ́: Wap tə dzə ywə pɑ́, wap lə nəŋ bɑ shwa, wap lə pɑ́ nyəŋ ywə ŋkhíŋ; da' gɑ́ Tá yɔ kɛbəŋ nəŋ bɑ ŋkhim wap. Po tə bɑ po ghə də̀ŋ shyə wap a?
Soyez donc parfaits, tout comme votre Père qui est au ciel est parfait.»	A piŋ bɑ̀ po'o bi a ya mo nə po tsɔp pɑ́ nɑ e tɑ ŋkwi' muywə nə vɔk e?
«Gardez-vous d'accomplir vos devoirs religieux en public, pour que tout le monde vous remarque. Sinon, vous ne recevrez pas de récompense de votre Père qui est dans les cieux.	Nwə kɑ́ po tsɔp nɑ tsɔ nə dzə̌? Po le mtutuŋ mghe pé tə́ jɔ pa' a ŋkwyə a; wap tə jɔgo' fa' pɑ́, wap lə nəŋ bɑ́ ba' dzə́.
Quand donc tu donnes quelque chose à un pauvre, n'attire pas bruyamment l'attention sur toi, comme le font les hypocrites dans les synagogues et dans les rues: ils agissent ainsi pour être loués par les hommes. Je vous le déclare, c'est la vérité: ils ont déjà leur récompense.	Biŋ bɑ siŋ wɔ gɑ́ ba Salomoŋ nə guŋ ghu'tə e awɛ la tə kwa dzə pa' ta' nə mtutuŋ mghe bɔ a.
Mais quand ta main droite donne quelque chose à un pauvre, ta main gauche elle-même ne doit pas le savoir.	A bi a Si pɑ ŋkwa dzə nə mghě myə a bɑ cwəlɔ, dzʉ̌ pɑ́ gɔ lɔ pu to mɔk a dəŋ po'o, bɑ e tə gɔ ghə nə po cyə pa' e gə nə mghě a pɑ a? Wɔ pɑ ghə múywə piŋnthʉm.
Ainsi, il faut que ce don reste secret; et Dieu, ton Père, qui voit ce que tu fais en secret, te récompensera.»	Ka po pɑ dzɔp nɑ tsɔ gɑ: Pyə gɔ tsʉ́ kɑ? Pyə gɔ nwə́ kɑ? Pyə gɔ kwa kɑ́ nə pyə?
«Quand vous priez, ne soyez pas comme les hypocrites: ils aiment à prier debout dans les synagogues et au coin des rues pour que tout le monde les voie. Je vous le déclare, c'est la vérité: ils ont déjà leur récompense.	Guŋ tsə ba awɛ ba pɑ́ tə pɑ́ pɑ́ Yudea shəŋ yap yá tə pwa; bɑ Tá yɔ kɛbəŋ nəŋ jyə́ gɑ́ tsə bǎ bɑwə shəŋ bi po.
Mais toi, lorsque tu veux prier, entre dans ta chambre, ferme la porte et prie ton Père qui est là, dans cet endroit secret; et ton Père, qui voit ce que tu fais en secret, te récompensera.	Po ləŋdzə shəŋ Nəfo pu a dəŋdəŋ Si tɑ pu kwi' tsyə bǎ nə́.
«Quand vous priez, ne répétez pas sans fin les mêmes choses comme les païens: ils s'imaginent que Dieu les exaucera s'ils parlent beaucoup.	Ka po pɑ́ dzɔp nɑ tsɔ nə yǒ: Yǒ gɔ ti nyatə nɑ e. Yə dəŋ go' bǎ ya tyɛ'dzʉ a ŋkhu' pɑ nə e.
Ne les imitez pas, car Dieu, votre Père, sait déjà de quoi vous avez besoin avant que vous le lui demandiez.	Ka po pɑ ji pɑ fyɛ̀', po'o gɑ pu kɑ fyɛ' wɔ
Voici comment vous devez prier: “Notre Père qui es dans les cieux, que chacun reconnaisse que tu es le Dieu saint	nə pa' pu gɔ sɔ' lə pɑ nthi fyɛ' yə po nə fyɛ' a nə fyɛ' wɔ, lɑ pɑ fo' yə po nə fo' a nə fo' wɔ.
que ton Règne vienne; que chacun, sur la terre, fasse ta volonté comme elle est faite dans le ciel.	Nwə kɑ́ o lé ghəgha' ywə yə a bɛtsə́ fɑ o a tɑ tə zhyə́ gɑ nthyə̀ bɛtsə o?
Donne-nous aujourd'hui le pain nécessaire.	Kɑ́ o gɔ ghə m gɑ́ kɑ tə ghɔm bi fɑ o gɑ́ tiŋnyə nthé ghəgha' ywə yə a bɛtsə́ o a tə́ nthyə̀ pɑ bɛtsə o?
Pardonne-nous nos torts, comme nous pardonnons nous aussi à ceux qui nous ont fait du tort.	Wə mo dzɛbǔ, ləŋdzə nthé nthyə̀ bɛtsə́ o tɑ̀ jɔ tsʉ' pɑpúŋ nə nthé ghəgha' ywə bɛtsə́ fɑ o.
Et ne nous expose pas à la tentation, mais délivre-nous du Mauvais. [Car c'est à toi qu'appartiennent le règne, la puissance et la gloire, pour toujours. Amen.]”	Ka po hɑ ywə dɔlɔ̌ bi mbvʉ̌, kɑ nə ma' mtɔkcyə mo bi pǒ gənɔm lɑ́, bwɔk gɑ wap kɑ́ nəŋtə biŋ fɛ nɑ tsap syatə wɔ.
«En effet, si vous pardonnez aux autres le mal qu'ils vous ont fait, votre Père qui est au ciel vous pardonnera aussi.	Po ló, pú gɔ hɑ bi po; po cə́ŋ, pǒ gɔ yɔ, po ko'tə jyədyə̌, pu gɔ hé bi po.
Mais si vous ne pardonnez pas aux autres, votre Père ne vous pardonnera pas non plus le mal que vous avez fait.»	Nə pa' mo yə e ló a ŋkwi, mo yə e cəŋ a yɔ, pu pɑ́ hé bi mo yə e ko'tə a.
«Quand vous jeûnez, ne prenez pas un air triste comme font les hypocrites: ils changent de visage pour que tout le monde voie qu'ils jeûnent. Je vous le déclare, c'est la vérité: ils ont déjà leur récompense.	A po'o bi a ya mo pɑ́ nə po yə mú e lo e ywətsʉ bɑ e gɔ hɑ gwɔ' bi a?
Mais toi, quand tu jeûnes, lave-toi le visage et parfume ta tête	Kɑ bi a e lo e bapgu bɑ e gɔ hɑ́ nɔk bi é?
afin que les gens ne se rendent pas compte que tu jeûnes. Seul ton Père qui est là, dans le secret, le saura; et ton Père, qui voit ce que tu fais en secret, te récompensera.»	A bi a dəŋ pa' bɑ po pɔk a po zhyə́ nə hɑ tsə pɑpuŋ bi pó pɔ, bɑ mcʉ̌m sʉ'ʉ nə Tá yɔ yə e kɛbəŋ a, pa' e gɔ hɑ tsə pɑpúŋ bi pɔ pyə wap ló bi e a?
«Ne vous amassez pas des richesses dans ce monde, où les vers et la rouille détruisent, où les cambrioleurs forcent les serrures pour voler.	Po'o, bǎ yɑ ywə lə́ yə po shəŋ gɑ́ pɔmnəŋ ghə bi po a, kwa' wɔ ghə ya bi pú. A bɑ mcò', biŋ bɑ mghɔm mghɔm Si.
Amassez-vous plutôt des richesses dans le ciel, où il n'y a ni vers ni rouille pour détruire, ni cambrioleurs pour forcer les serrures et voler.	Po ko dyə m nə pim jyədyə̌. Jyədyə̌ yə a gɔ m nə pi á bɑ ǎ sɛtə biŋ gʉ́ɔnyə; pɔ pyə́ a bɑ wap cyə m nə a yɔm té' o.
Car ton cœur sera toujours là où sont tes richesses.»	Tɑ́ jyədyə̌ vɔk bɑ a kɔ́k, məjyə piŋ ŋkhɔmtə, bɑ pɑ yɔ məjyə̀ bɔ ka yɔm.
«Les yeux sont la lampe du corps: si tes yeux sont en bon état, tout ton corps est éclairé	Pó pɔm mghɔm ghɔm Si cwanwə, pyə wap sɔ' bəŋ po pa' jʉ̀jʉ̀ á tə bɑ m nthʉm o bɑ mbvʉ́ gǒ pyə wap sim tsʉ' a.
mais si tes yeux sont malades, tout ton corps est dans l'obscurité. Si donc la lumière qui est en toi n'est qu'obscurité, comme cette obscurité sera noire!»	Po gɔ zhyə wap pɑ nə nthɔm map. Pu ŋkhap nthɔm nthə́ nə nu' mlu' nə mka'tə a? Nəŋ bɑ ŋkhap figə nə thə júŋ a?
«Personne ne peut servir deux maîtres: ou bien il haïra le premier et aimera le second; ou bien il s'attachera au premier et méprisera le second. Vous ne pouvez pas servir à la fois Dieu et l'argent.»	A bɑ po'o tɑ bǎ yá ta'thə pɑpuŋ a jam nthɔm pɑpuŋ; da'gɑ bǎ ya ta' thə yə gho ko nə a pɑ jam nthɔm cwəpuŋ.
«Voilà pourquoi je vous dis: Ne vous inquiétez pas au sujet de la nourriture et de la boisson dont vous avez besoin pour vivre, ou au sujet des vêtements dont vous avez besoin pour votre corps. La vie est plus importante que la nourriture et le corps plus important que les vêtements, n'est-ce pas?	Bi a pɑ ta'thə pɑpuŋ lə yam nthɔm cwəpuŋ kɑ ta'thə gogho lə yam nthɔm pɑpuŋ.
Regardez les oiseaux: ils ne sèment ni ne moissonnent, ils n'amassent pas de récoltes dans des greniers, mais votre Père qui est au ciel les nourrit! Ne valez-vous pas beaucoup plus que les oiseaux?	Bǎ ya ta' thə lə́ yə a tɑ́ jam nthɔm pɑpuŋ a pɑ, pú ŋkho', ma' mɔk.
Qui d'entre vous parvient à prolonger un peu la durée de sa vie par le souci qu'il se fait?	A po'o tə́ po pɑ́ gɔ lɑ pɑ nthɔm máp nə zhyə́ wáp.
«Et pourquoi vous inquiétez-vous au sujet des vêtements? Observez comment poussent les fleurs des champs: elles ne travaillent pas, elles ne se font pas de vêtements.	Tə da' nə ghɔm bəm gɑ́: Cyəpɔ, Cyəpɔ! Nə gɔ ghə tɑ́ mo ko nə́ Nəfo kɛbəŋ pɑ. O gɔ ghə ywə yə Tá a kɛbəŋ shəŋ a.
Pourtant, je vous le dis, même Salomon, avec toute sa richesse, n'a pas eu de vêtements aussi beaux qu'une seule de ces fleurs.	Pɔ tə́ jɔm gɔ sɔ' tyɛ'dzʉ́ bɔ ghɔm bəm gɑ: Cyəpɔ, Cyəpɔ! Pyə lé tə lɑ tsó tsǔ gɔm ghɔm Si a? Dɑ tsó tsǔ jəŋ zhwenyə cwəpuŋ a? Dɑ tsó tsǔ nthé vəŋ msya a?
Dieu habille ainsi l'herbe des champs qui est là aujourd'hui et qui demain sera jetée au feu: alors ne vous habillera-t-il pas à bien plus forte raison vous-mêmes? Comme votre confiance en lui est faible!	Biŋ gɔm bi pú gɑ: Ŋ da m jyə wɔ, po lú bəŋ m̀ wɔ pɑ ghə mnwə cwəpuŋ!
Ne vous inquiétez donc pas en disant: “Qu'allons-nous manger? qu'allons-nous boire? qu'allons-nous mettre pour nous habiller?”	A po'o tə bǎ ya mo lə́ yə é ju' mghɔm myə gɑ̌ gɔm á giŋ nə á, bɑ́ dəŋdəŋ pa' mu' mo jyə nwə yə e lə kwɑ pa' e dəm wǔ gwɔ' a.
Ce sont les païens qui recherchent sans arrêt tout cela. Mais votre Père qui est au ciel sait que vous en avez besoin.	Bəŋ lú, mcɑ tsəŋ; fəfa cʉ' guŋ e awɛ vʉ nə pa' bɔ̌, da' gɑ́ a lə vʉ nə pá' to pa' bɔ̌ bɑ́ dəm wǔ gwɔ' a.
Préoccupez-vous d'abord du Royaume de Dieu et de la vie juste qu'il demande, et Dieu vous accordera aussi tout le reste.	Mo yə e nəŋ jú' mghɔm myə gɑ̌ gɔm a la' e ghiŋ nə a, bɑ́ pá' mu' ŋkhəŋkhʉɔ yə e ŋkwɑ pa' e nə bvɛ a.
Ne vous inquiétez donc pas du lendemain: le lendemain se souciera de lui-même. A chaque jour suffit sa peine.»	Bəŋ lú, mcɑ tsəŋ; fəfa cʉ', guŋ e awɛ vʉ̀ nə pà' bɔ̌, a vʉ, mkhʉm myə́ yɔm tɑ́.
«Ne portez de jugement contre personne, afin que Dieu ne vous juge pas non plus.	A lə pɑ́ tə Yeso miŋ nə ghɔ̀m mghɔm bɔ, ywə yə e ji'tə a cəŋtə́ ŋkhó nə pɔmnəŋ
Car Dieu vous jugera comme vous jugez les autres; il vous mesurera avec la mesure que vous employez pour eux.	nə pá' e lə bɑwə ji'tə m pa' mo yə e ghə tʉɔ a, la' e zhi' m pa' pɑ zhyə mco' a pɑ́.
Pourquoi regardes-tu le brin de paille qui est dans l'œil de ton frère, alors que tu ne remarques pas la poutre qui est dans ton œil?	Yeso lə nə tsə̌ŋ fɑ dəm kuŋgǒ, vəŋ pɔ pɑ́ jʉm e.
Comment peux-tu dire à ton frère: “Laisse-moi enlever cette paille de ton œil”, alors que tu as une poutre dans le tien?	Po'o tə mu' gɛ ka'pap sɔ' ŋkham mkwi'tə myə́ dzə e bɑ́ gɔm gɑ: Cyəpɔ, o kuŋ bɑ o gɔ lɔnyə a.
Hypocrite, enlève d'abord la poutre de ton œil et alors tu verras assez clair pour enlever la paille de l'œil de ton frère.	Yeso nya pu é, ŋkwak nə é gɔm gɑ: Gɑ̌ kùŋ, lɔ́! E wuŋ dɔ pɑ cwəocwəo nə́ ka' pap.
«Ne donnez pas ce qui est saint aux chiens, de peur qu'ils ne se retournent contre vous et ne vous déchirent; ne jetez pas vos perles devant les porcs, de peur qu'ils ne les piétinent.»	Tɑ́ Yeso piŋ gɔm bi e gɑ: Pɔm tə siŋ sɔmmo; da' gɑ́ ghɔ da'tə nɑ o bi ŋkhamsi, biŋ hɑ́ ywə hɑhɑ̌ yə Mosɛ lə́ yap a: a pɑ́ mkwinthɛ́ bi pu.
